Pfam,Protein (Uniprot ID),Description,Most similar Binding-compound Tanimoto Similarity,Domain-binding similar ligands
PF00001,Q8NH70,O4A16_HUMAN Olfactory receptor 4A16 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NH85,OR5R1_HUMAN Olfactory receptor 8U3 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q96R54,O14A2_HUMAN Olfactory receptor 14A2 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q9BXC1,GP174_HUMAN Probable G-protein coupled receptor 174 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q9UKP6,UR2R_HUMAN Urotensin-2 receptor ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,P60893,GPR85_HUMAN Probable G-protein coupled receptor 85 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NGF0,O52B6_HUMAN Olfactory receptor 52B6 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q96R47,O2A14_HUMAN Olfactory receptor 2A14 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,O43193,MTLR_HUMAN Motilin receptor ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NGD5,OR4KE_HUMAN Olfactory receptor 4K14 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NGL9,OR4CG_HUMAN Olfactory receptor 4C16 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NH80,O10D3_HUMAN Olfactory receptor 10D3 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,P23945,FSHR_HUMAN Follicle-stimulating hormone receptor ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,P30550,GRPR_HUMAN Gastrin-releasing peptide receptor ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,P30874,SSR2_HUMAN Somatostatin receptor type 2 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q5JQS5,OR2BB_HUMAN Olfactory receptor 2B11 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8N0Y5,OR8I2_HUMAN Olfactory receptor 8I2 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q96R30,OR2V2_HUMAN Olfactory receptor 2V2 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,P49019,HCAR3_HUMAN Hydroxycarboxylic acid receptor 3 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q6IF00,OR2T2_HUMAN Olfactory receptor 2T2 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,P30518,V2R_HUMAN Vasopressin V2 receptor ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NGE1,OR6C4_HUMAN Olfactory receptor 6C4 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NGV7,OR5H2_HUMAN Olfactory receptor 5H2 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NHC4,O10J5_HUMAN Olfactory receptor 10J5 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q96R08,OR5BC_HUMAN Olfactory receptor 5B12 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q13585,MTR1L_HUMAN Melatonin-related receptor ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q6W5P4,NPSR1_HUMAN Neuropeptide S receptor ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NGA8,O4F17_HUMAN Olfactory receptor 4F17 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q9BXA5,SUCR1_HUMAN Succinate receptor 1 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,P18825,ADA2C_HUMAN Alpha-2C adrenergic receptor ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NGH6,O52L2_HUMAN Putative olfactory receptor 52L2 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NGI4,OR4DB_HUMAN Olfactory receptor 4D11 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q9H210,OR2D2_HUMAN Olfactory receptor 2D2 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,O76099,OR7C1_HUMAN Olfactory receptor 7C1 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,P21554,CNR1_HUMAN Cannabinoid receptor 1 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,P58173,OR2B6_HUMAN Olfactory receptor 2B6 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NH42,OR4KD_HUMAN Olfactory receptor 4K13 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,P43119,PI2R_HUMAN Prostacyclin receptor ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,P49146,NPY2R_HUMAN Neuropeptide Y receptor type 2 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,P35346,SSR5_HUMAN Somatostatin receptor type 5 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,P41231,P2RY2_HUMAN P2Y purinoceptor 2 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q13607,OR2F1_HUMAN Olfactory receptor 2F1 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NH94,OR1L1_HUMAN Olfactory receptor 1L1 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,P35348,ADA1A_HUMAN Alpha-1A adrenergic receptor ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,P35408,PE2R4_HUMAN Prostaglandin E2 receptor EP4 subtype ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q15743,OGR1_HUMAN Ovarian cancer G-protein coupled receptor 1 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,A6NL08,O6C75_HUMAN Olfactory receptor 6C75 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q15619,OR1C1_HUMAN Olfactory receptor 1C1 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NH43,OR4L1_HUMAN Olfactory receptor 4L1 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q9UGF5,O14J1_HUMAN Olfactory receptor 14J1 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,P25100,ADA1D_HUMAN Alpha-1D adrenergic receptor ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,P32245,MC4R_HUMAN Melanocortin receptor 4 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NGW6,OR6K6_HUMAN Olfactory receptor 6K6 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,A0A2R8YEG4,A0A2R8YEG4_HUMAN Olfactory receptor ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,P14416,DRD2_HUMAN D(2) dopamine receptor ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,P28223,5HT2A_HUMAN 5-hydroxytryptamine receptor 2A ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,P49238,CX3C1_HUMAN CX3C chemokine receptor 1 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,O15354,GPR37_HUMAN Prosaposin receptor GPR37 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,O43749,OR1F1_HUMAN Olfactory receptor 1F1 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,P0DN78,OPSG3_HUMAN Medium-wave-sensitive opsin 3 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NGB6,OR4M2_HUMAN Olfactory receptor 4M2 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q9UGF6,OR5V1_HUMAN Olfactory receptor 5V1 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q15617,OR8G1_HUMAN Olfactory receptor 8G1 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NGB8,O4F15_HUMAN Olfactory receptor 4F15 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8TDV5,GP119_HUMAN Glucose-dependent insulinotropic receptor ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,O76002,OR2J2_HUMAN Olfactory receptor 2J2 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,P08913,ADA2A_HUMAN Alpha-2A adrenergic receptor ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q99527,GPER1_HUMAN G-protein coupled estrogen receptor 1 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NH21,OR4F5_HUMAN Olfactory receptor 4F5 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,P49683,PRLHR_HUMAN Prolactin-releasing peptide receptor ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NGP4,OR5M3_HUMAN Olfactory receptor 5M3 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q96RC9,OR8B4_HUMAN Olfactory receptor 8B4 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q9BZJ7,GPR62_HUMAN G-protein coupled receptor 62 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q9P296,C5AR2_HUMAN C5a anaphylatoxin chemotactic receptor 2 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q9Y5Y4,PD2R2_HUMAN Prostaglandin D2 receptor 2 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,O95047,OR2A4_HUMAN Olfactory receptor 2A4 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,B2RN74,O11HC_HUMAN Olfactory receptor 11H12 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,O76000,OR2B3_HUMAN Putative olfactory receptor 2B3 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,P0C7N8,OR9G9_HUMAN Olfactory receptor 9G9 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,P0C7T3,O56A5_HUMAN Olfactory receptor 56A5 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,P21730,C5AR1_HUMAN C5a anaphylatoxin chemotactic receptor 1 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,P30989,NTR1_HUMAN Neurotensin receptor type 1 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q9BXB1,LGR4_HUMAN Leucine-rich repeat-containing G-protein coupled receptor 4 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q49SQ1,GPR33_HUMAN Probable G-protein coupled receptor 33 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NGR4,OR5C1_HUMAN Olfactory receptor 5C1 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,P29275,AA2BR_HUMAN Adenosine receptor A2b ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q15761,NPY5R_HUMAN Neuropeptide Y receptor type 5 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q9H205,O2AG1_HUMAN Olfactory receptor 2AG1 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,P25106,ACKR3_HUMAN Atypical chemokine receptor 3 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,P28221,5HT1D_HUMAN 5-hydroxytryptamine receptor 1D ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NGZ2,O14K1_HUMAN Olfactory receptor 14K1 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q92847,GHSR_HUMAN Growth hormone secretagogue receptor type 1 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,O60404,O10H3_HUMAN Olfactory receptor 10H3 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q13639,5HT4R_HUMAN 5-hydroxytryptamine receptor 4 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NGN2,O10S1_HUMAN Olfactory receptor 10S1 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
